,value
implied_dec26_bp,23.9
implied_12m_bp,61.5
gap_feb26_bp,-29.97826937772272
gap_now_bp,63.91388735662442
gilt_2y_pct,4.299
gilt_5y_pct,4.559
gilt_10y_pct,5.104
gilt_20y_pct,5.8
gilt_30y_pct,5.892
gilt_ois_2y_bp,6.8
gilt_ois_2y_bp_1y_ago,7.3
gilt_ois_5y_bp,21.9
gilt_ois_5y_bp_1y_ago,22.9
gilt_ois_10y_bp,47.4
gilt_ois_10y_bp_1y_ago,53.8
gilt_ois_15y_bp,63.5
gilt_ois_15y_bp_1y_ago,73.1
gilt_ois_20y_bp,71.7
gilt_ois_20y_bp_1y_ago,83.9
gilt_ois_25y_bp,76.0
gilt_ois_25y_bp_1y_ago,89.1
slope_2s10s_bp,80.5
slope_2s10s_pct2015,64.1
slope_2s10s_bp_1y_ago,89.9
slope_2s5s_bp,26.0
slope_2s5s_pct2015,62.0
slope_2s5s_bp_1y_ago,22.5
slope_5s10s_bp,54.5
slope_5s10s_pct2015,65.9
slope_5s10s_bp_1y_ago,67.4
slope_10s30s_bp,78.8
slope_10s30s_pct2015,88.0
slope_10s30s_bp_1y_ago,92.1
slope_5s30s_bp,133.3
slope_5s30s_pct2015,77.4
slope_5s30s_bp_1y_ago,159.5
slope_2s30s_bp,159.3
slope_2s30s_pct2015,77.0
slope_2s30s_bp_1y_ago,182.1
chg_12m_2y_bp,59.6
chg_ytd_2y_bp,66.7
chg_12m_5y_bp,63.0
chg_ytd_5y_bp,62.2
chg_12m_10y_bp,50.2
chg_ytd_10y_bp,53.2
chg_12m_20y_bp,39.0
chg_ytd_20y_bp,55.8
chg_12m_30y_bp,36.8
chg_ytd_30y_bp,57.9
real_10y_pct,1.881
real_30y_pct,2.52
real_30y_percentile_1997,99.5
real_10y_pct_1y_ago,1.438
be_rpi_10y,3.223
be_cpi_10y,2.907
be_rpi_30y,3.372
be_cpi_30y,3.267
fwd_5y5y_rpi,3.003
fwd_5y5y_rpi_1y_ago,3.131
regime_latest,bear flattener
regime_2026_modal,bear steepener
as_of,2026-07-31
published,2026-08-03
bank_rate,3.75
sonia,3.732
ois_1y_spot,4.066
ois_2y_spot,4.232
ois_1y1y_fwd,4.397
peak_implied_rate_2y,4.413
peak_implied_horizon_yrs,1.4166666666666663
peak_implied_date,2027-12-30
gilt_2y_pct2015,91.7
gilt_2y_pct1997,65.5
gilt_2y_1y_ago,3.703
gilt_5y_pct2015,98.8
gilt_5y_pct1997,71.2
gilt_5y_1y_ago,3.928
gilt_10y_pct2015,99.7
gilt_10y_pct1997,88.0
gilt_10y_1y_ago,4.602
gilt_20y_pct2015,99.8
gilt_20y_pct1997,95.9
gilt_20y_1y_ago,5.41
gilt_30y_pct2015,99.8
gilt_30y_pct1997,99.8
gilt_30y_1y_ago,5.523
gilt_30y_days_above_since1998,4
gilt_30y_obs_since1998,7457
gilt_30y_max_since1998,5.948
gilt_30y_max_date,2026-05-15
